"annot","pVal","phase","peak.shape","period"
"Ppp1r9a",2.2210961180644e-08,6,12,24
"Atat1",3.10050346630369e-09,6,4,24
"Sort1",2.66257357113346e-05,8,6,24
"Arhgef3",0.000925813067136432,10,8,24
"Camsap3",8.55617753598168e-05,4,6,24
"Slc44a1",8.37828064707251e-11,4,8,24
"Ces2c",0.00294400509667906,12,18,24
"Stat5a",4.87125194325697e-09,24,12,24
"Orm2",0.00203082023533102,12,10,12
"Robo1",0.0749848853839327,4,20,24
"Sucnr1",0.000305062600890703,4,10,12
"Serpina12",0.0858273910936497,12,4,16
"Rhbdd1",2.04914234092472e-05,8,8,24
"Casp8",0.0105120408203919,12,6,12
"Sh3glb2",0.0955300286427173,10,12,22
"Irs2",0.0019266336855351,24,16,24
"Hivep1",0.21297742783145,12,8,12
"Hook2",5.60631793533376e-05,12,6,24
"Slc15a4",6.41332802555648e-09,14,10,24
"Wwtr1",1.56502268317106e-05,10,10,24
"Shroom2",0.000328038730341919,22,12,24
"Tspan14",3.69544969822181e-06,22,14,24
"Slc25a4",0.00544552180590062,14,10,22
"Rabl6",6.25353954419534e-07,14,14,24
"Sugct",3.01799567294966e-07,10,16,24
"Dnajb1",4.73780411168888e-06,2,4,12
"Cyp4f17",5.53831434226083e-08,20,16,24
"Mdfic",0.00870344690080248,2,14,24
"Tmem131l",1.78334257066936e-06,6,20,24
"Srm",8.29654132368644e-11,14,16,24
"Fam149a",5.30415106267791e-16,4,10,24
"Vwa5a",0.492387842742207,24,20,24
"Tex264",0.00114295899993399,12,10,24
"Mief2",0.800575808907678,10,4,12
"Axl",0.0111121405040607,10,10,12
"Il4ra",1.66029934391231e-15,4,6,24
"Dnmt3a",1.39399258184174e-06,8,10,24
"Mrc1",0.00708045211333922,22,20,24
"Slc22a5",1.1655296588286e-08,12,16,24
"Chd7",2.88581752239804e-09,12,16,24
"Chordc1",1.21710059220742e-05,16,16,24
"Slc35g1",7.89922696698161e-06,14,14,24
"Cep85l",0.02001767824011,10,6,12
"Bcas3",7.97289678239727e-09,12,6,24
"Cacybp",3.17519497684272e-08,16,16,24
"Leap2",1.42151465011267e-08,4,10,24
"Gas1",6.85888499759136e-07,6,8,12
"Mpdz",3.05519078684097e-09,8,10,24
"Usp36",1.79583442801893e-08,12,6,12
"Foxk2",1.70224274341243e-05,2,4,12
"Exoc4",6.76358836710973e-09,10,8,24
"Ip6k2",0.0141327163460313,8,4,12
"1810013L24Rik",5.02679696014443e-13,8,12,24
"Ephb4",0.2752066316622,12,6,12
"Tcaim",0.000156255303593018,24,4,24
"Ercc3",0.477918031041085,6,14,16
"Amd1",3.59144013118172e-06,12,16,24
"4833420G17Rik",1.07287926364193e-07,8,10,24
"Lgalsl",2.01310812165503e-19,24,12,24
"Alpl",4.43787435623798e-09,14,18,24
"Cyp26a1",0.00134598794195137,4,4,12
"Ctcflos",8.13917762167864e-06,14,14,24
"Tbc1d8",3.05479147933954e-06,14,14,24
"Hspb1",0.00180257885155604,22,10,22
"Bak1",0.0170462367006956,14,14,24
"Ccnd1",7.88975205274338e-05,12,8,12
"Pde4b",7.41391221226608e-05,6,20,24
"Foxq1",0.0502526655828274,2,8,16
"Col1a2",0.675806589751571,12,8,12
"Pik3c3",0.0869664313776871,4,18,24
"Slc39a8",8.0710434890053e-09,4,10,24
"Zfp707",4.61328425251697e-05,6,6,24
"Slc35b1",5.40518178595648e-08,2,8,24
"Paqr7",0.00673465316030594,10,8,16
"Slc41a2",3.05453581245188e-10,2,8,24
"Prkcz",0.133343092859344,8,12,16
"Ppp2r2d",4.48213690104291e-07,8,16,24
"Mfsd14a",8.68774005604579e-06,22,8,24
"Fam169b",1.03918554384883e-10,14,12,24
"Acmsd",1.79261652132302e-11,22,12,24
"Zbtb38",0.25256895945292,2,10,24
"Atg4d",0.00149497849910527,2,4,12
"Ttc7b",5.19216969586953e-08,14,16,24
"Flcn",1.3385642207685e-16,10,8,24
"Cpsf2",1.0884658873268e-07,24,10,24
"Ddhd1",9.74304852397207e-19,24,12,24
"Ccz1",0.00489241500094966,10,8,24
"Adssl1",3.8097221143597e-12,12,12,24
"Pycrl",0.00929003319145142,16,14,24
"Mertk",0.0550285318008972,14,4,16
"Slc16a5",3.40713173116135e-09,16,8,24
"Slc39a4",1.72066057536356e-05,24,14,24
"Rrs1",6.2505143648332e-08,2,4,12
"Samd8",4.78570228181385e-08,6,8,12
"Abcd2",1.70269381556706e-08,10,14,24
"Dhx40",3.63193832157642e-11,8,8,24
"Zfp236",3.91131834246146e-05,2,4,24
"Atxn1l",0.0527494880775389,6,10,24
"Imp3",0.23818850073299,14,10,22
"Galnt4",0.879105783999863,6,12,16
"Fam114a1",1.93281412555988e-07,8,8,24
"Cyp2u1",5.80518309702934e-07,24,14,24
"Slc25a32",1.02299727609957e-12,12,14,24
"Gnl1",1.99409127031337e-09,12,18,24
"Rfx7",0.00173068542914419,24,10,24
"Ipo13",0.0221944009155532,12,8,12
"Pik3r4",1.35229310272081e-05,8,10,24
"Rbm3",2.22693659911705e-11,14,10,24
"Msi2",1.84547421195427e-09,6,8,24
"Rbx1",0.967114005443732,8,6,14
"Pim1",0.0075285491922193,6,12,24
"Wdr43",3.0293825373708e-05,12,16,24
"Jmy",0.802325413051442,10,6,12
"Rabggtb",4.61977411543095e-06,6,4,24
"Acsl3",3.54678817000997e-05,18,18,24
"Mxi1",6.02499737290578e-05,14,10,24
"Washc4",0.00022576045625534,24,10,24
"Gata4",7.09218991007911e-06,22,12,24
"1700017B05Rik",2.79957182597301e-11,2,6,24
"Phf21a",1.42389419357482e-12,2,10,24
"Tnfaip8l1",2.39570387749679e-06,8,8,24
"Dctn4",1.30124246790928e-08,6,14,24
"Arl4a",5.84861963328983e-09,20,16,24
"Pts",0.0342554194888256,8,16,24
"Pnpt1",0.00320524687749858,24,10,24
"Klhdc2",0.00028613429895245,2,18,24
"Parp10",3.17766056442973e-07,12,6,24
"Atad2b",4.63726576790581e-06,24,10,24
"Mrpl27",0.000246609580484702,10,14,24
"Rab3gap2",4.13598458135999e-06,6,10,24
"Ier2",0.435845839079056,2,8,16
"Itih5",0.669991587799385,24,20,24
"Lrrc28",2.31033046401609e-09,12,16,24
"Vps13a",3.65115394913475e-13,16,12,24
"Ptpn9",2.76806681565867e-08,20,14,24
"Cyp3a59",0.00101799647801536,10,4,24
"Slc12a9",0.000491296131312519,8,10,24
"Abtb2",1.73121653843503e-15,24,10,24
"Ints7",0.00785639220938179,12,8,16
"Hba-a2",5.43596576092876e-05,22,10,24
"Nxt2",0.00294943018141227,10,2,12
"Cecr2",2.2986801089177e-05,8,4,24
"Pom121",0.0124871741998414,14,18,24
"Clns1a",0.0354543988164486,2,12,18
"Mir22hg",0.0180521393890979,12,6,16
"Mtrex",0.273051572579297,24,4,24
"Ndufaf4",4.63072584014266e-14,14,16,24
"Pnkp",2.6019201333144e-12,4,10,24
"Wipf3",2.77218342133161e-13,12,10,24
"Mdn1",0.000704541257300486,24,4,24
"Taz",8.06221140303393e-06,4,14,24
"Madd",0.0349456475692669,2,10,18
"Foxp1",0.014389541626065,2,10,24
"Ndufa1",0.0474582521114289,10,18,24
"Col1a1",0.188482961903549,2,6,12
"Dcaf12",0.0896758546280397,2,12,18
"Tet2",0.009182220216243,20,14,24
"Il11ra1",5.84556948233849e-15,4,8,24
"Cry1",1.0827809596494e-23,22,10,24
"Camsap2",0.060084535794586,24,4,24
"Lrrk1",0.0184473494496135,10,8,24
"Thra",4.13565876049527e-09,6,8,24
"Fam193a",0.0395446283899975,6,4,24
"Slc25a30",0.243280422046569,12,6,12
"Ate1",0.0192019699782454,10,6,12
"Nbas",1.70110325008884e-05,24,14,24
"Ankrd13a",1.1265920916307e-05,2,10,22
"Krtcap2",0.115445511170836,18,10,18
"Scamp2",0.000574358401140528,10,8,24
"Ppard",1.29904272444181e-18,24,8,24
"Frs2",0.497925970174729,24,10,24
"Vps37b",8.09929515143284e-16,20,14,24
"Cish",0.0260066400147272,12,6,12
