"annot","pVal","phase","peak.shape","period"
"B3galt1",0.000976343078491926,22,4,24
"Plxna2",1.16692665923519e-14,2,10,24
"Pcmtd2",1.67196077360564e-07,8,8,24
"Dcun1d4",9.96911262976664e-14,8,14,24
"Acsl3",0.000244008429538183,18,16,24
"Zfp707",4.20347951344186e-08,4,12,24
"Epha2",0.00186100005687603,2,8,24
"Bet1",2.50994482474842e-12,4,8,24
"Hspa13",6.95427597570007e-10,4,6,12
"Stim2",2.35181905936202e-16,16,14,24
"Pla2g12b",2.68316268149142e-13,4,12,24
"Plekha8",1.45228930391301e-11,16,16,24
"Myh1",0.000422502677049,14,10,24
"Irgq",5.13930414676037e-08,2,6,24
"Fam222b",5.83438941520397e-09,24,8,24
"Sik1",5.62117520074219e-11,14,18,24
"Gm33459",9.79621359418853e-06,18,14,24
"Fgfr2",1.86997421702396e-10,8,12,24
"Fzd7",0.00424582410204193,12,10,12
"A730008H23Rik",5.07720693399658e-05,8,10,24
"C1qa",0.0995677543213615,10,2,16
"Gale",4.27562183816759e-10,2,10,24
"Tjp2",1.81704694133578e-12,2,10,24
"Tmie",7.11157651873648e-07,2,10,24
"Tap1",4.59664714830651e-11,6,14,24
"Hspg2",0.424980050683708,8,4,12
"Pnp",2.857664758978e-17,24,14,24
"Col3a1",0.765406108738444,10,8,16
"Abcd1",4.65422924649213e-05,4,8,16
"Mvk",1.05932957015292e-06,24,20,24
"C1qc",0.0100869545378392,10,2,16
"Rbms1",4.86210563269384e-18,8,10,24
"Col4a1",0.0928498761565544,4,8,24
"Zfand5",8.39698775501955e-06,4,12,24
"Srprb",5.79327788063253e-11,4,6,12
"Gtpbp4",7.70646856721631e-08,2,6,12
"Rabgap1l",0.000106819032766463,8,14,24
"Igfbp3",0.0763062865962668,4,14,22
"Gsdmd",3.76421489125826e-12,4,16,24
"Nup210",0.00371961547798081,14,4,16
"Pim1",0.000277882815000713,8,6,24
"Hspa4l",5.99492618898123e-13,16,20,24
"Tgfbr2",1.17263290206764e-14,14,10,24
"Fbxo6",2.43560968069807e-14,4,12,24
"Gmppa",6.11601287996006e-08,2,20,24
"Prelid3b",9.0532566523089e-12,16,16,24
"Dhrs7",1.99547418943789e-07,14,10,24
"Ptch1",0.000125623409336217,18,10,22
"Igsf11",1.05429178961504e-08,6,10,24
"H1f2",1.3366403350962e-13,24,12,24
"Pdlim1",2.78289061522065e-06,4,6,12
"Igfbp5",1.70572347412651e-05,20,6,24
"Wdr91",8.76214833829048e-17,22,16,24
"Igtp",0.328792809049859,2,8,14
"Slc35b4",1.82013257574022e-09,20,14,24
"Hba-a2",0.0251701769100656,24,6,24
"Map3k13",0.000295241790036578,14,20,24
"Thtpa",1.28488981007957e-10,6,10,24
"Myh14",1.56391587854732e-11,8,8,24
"Zfp655",1.28270068207177e-08,8,14,24
"Hcn3",5.38388146048213e-10,12,16,24
"Esr1",4.34133359399937e-11,16,18,24
"Onecut1",0.00884436025984463,16,14,22
"Ndel1",4.93118011102864e-15,14,12,24
"Cln8",6.48024972386827e-10,14,10,24
"Ildr2",0.00329335942936838,4,8,16
"Il11ra1",8.36445620980182e-12,2,12,24
"Anks1",4.24225085781506e-10,14,12,24
