,Gene_ID,Period,SNR,nSNR,LLR,phase
2772,Igfbp3,24.0,2.3195799894323947,0.7529266967390011,-1.8384517033894856,24
2773,Tns3,24.0,4.495834162201447,1.477552332445573,-1.6473191579182942,12
2774,Egfr,10.0,1.7102927893480042,0.8551463946740021,-1.5487737655639648,5
2775,Ppp3r1,24.0,2.1512685326697447,0.7562186772032023,-0.9496650695800781,11
2776,Pno1,12.0,2.5939927781843264,1.2969963890921632,-1.9279181162516277,10
2777,Actr2,12.0,1.4069199977604723,0.7034599988802361,-1.5800326665242512,9
2778,Rab1a,24.0,2.8015193662749915,1.0267083862836237,-1.717089017232259,12
2779,Aftph,24.0,3.0223672727802375,0.9401795139760795,-1.1618270874023438,24
2780,Vps54,24.0,1.5283780653754468,0.45638782280274504,-1.3904754320780437,22
2781,Ugp2,24.0,3.0036029010613126,1.225145332551555,0.42615342140197754,8
2782,Mdh1,12.0,1.2603858321813395,0.6301929160906697,-1.5090072949727376,8
2783,Cct4,12.0,2.3541391351400622,1.1770695675700311,-1.4722590446472168,12
2784,Xpo1,12.0,1.9235682537252485,0.9617841268626243,-1.5463935534159343,11
2785,Usp34,24.0,4.851029418640198,1.4493416956293823,-1.0146228472391765,20
2786,Pex13,24.0,2.7050435950098106,1.0047953378134693,-1.5527606010437012,2
2787,Ppp4r3b,12.0,3.1405646395399063,1.5702823197699531,-1.471941630045573,10
2788,Mtif2,24.0,2.666566019219376,1.0830909863286695,-0.6409320831298828,2
2789,Rps27a,16.0,2.671524815007967,1.3357624075039836,-1.8037433624267578,7
2790,Rtn4,24.0,3.7063698515442414,1.2086046214457096,-0.6807672182718912,7
2791,Sptbn1,12.0,2.86101716199345,1.430508580996725,-1.7093213399251301,9
2792,Psme4,24.0,1.1845744830741713,0.34702014886635196,-1.687197208404541,22
2793,Erlec1,14.0,3.5635347166706643,1.7817673583353322,-1.4905481338500977,9
2794,Cpeb4,24.0,4.196003919073603,1.475189740812173,-0.11479902267456055,24
2795,Fbxw11,12.0,1.6959599232902727,0.8479799616451363,-1.6777467727661133,10
2796,Npm1,12.0,1.4974917614984493,0.7487458807492247,-1.2815807660420735,12
2797,Pank3,16.0,2.237223057166147,1.1186115285830736,-1.4097256660461426,5
2798,Rars,12.0,1.97118727317334,0.98559363658667,-1.8138491312662761,11
2799,Wwc1,24.0,5.943337845303456,2.0932474491157893,-0.8418598175048828,15
2800,Ccng1,12.0,1.6034442903754251,0.8017221451877126,-1.5655962626139324,8
2801,Slu7,24.0,3.6222668616545763,1.2589142720483957,-1.1189320882161458,4
2802,Adra1b,24.0,3.1071481771409823,1.045515875928713,-0.3731064796447754,24
2803,Clint1,24.0,3.5584903856630845,1.2445855032928925,-0.6733098030090332,1
2804,Timd2,24.0,2.7524649924545255,1.0284967024114884,-1.452433745066325,6
2805,Rack1,24.0,1.9578153233294269,0.7030882354317777,-1.362587610880534,22
