,Gene_ID,Period,Period_null,Lengthscale,Lengthscale_null,Var,Var_null,Noise,Noise_null
19,Fam168b,18.0,300.0,2.339573621749878,8.0,2.422807216644287,0.05000000074505806,0.1408030241727829,0.9903507232666016
20,Hs6st1,24.0,300.0,3.033006429672241,8.134033203125,3.9597952365875244,0.05000000074505806,0.1290864795446396,0.9841611385345459
21,Uggt1,12.0,300.0,2.0,8.0,1.0465339422225952,0.05000000074505806,0.12676863372325897,0.9940319061279297
22,Kansl3,24.0,300.0,2.5841224193573,8.303580284118652,1.0778229236602783,0.05000000074505806,0.11442355066537857,1.0009633302688599
23,Cox5b,16.0,300.0,2.0,8.0,1.5772626399993896,0.05000000074505806,0.14190000295639038,0.9923998117446899
24,Actr1b,12.0,300.0,2.0,8.0,0.14088565111160278,0.05000000074505806,0.14119960367679596,0.9957253932952881
25,Tmem131,16.0,300.0,2.115183115005493,8.0,0.428640753030777,0.05000000074505806,0.14366498589515686,0.9871051907539368
26,Coa5,24.0,300.0,2.4451143741607666,8.348161697387695,0.8052823543548584,0.05000000074505806,0.11570959538221359,0.9943000674247742
27,Mrpl30,16.0,300.0,2.0,8.0,0.8696026802062988,0.05000000074505806,0.13623926043510437,0.9945995211601257
28,Txndc9,12.0,300.0,2.0,8.232627868652344,1.0876485109329224,0.05000000074505806,0.1413123905658722,0.9931379556655884
29,Eif5b,12.0,300.0,2.0,8.393828392028809,0.46572646498680115,0.05000000074505806,0.12555010616779327,0.9947921633720398
30,Rpl31,16.0,300.0,2.0,8.0,2.6786673069000244,0.05000000074505806,0.12989726662635803,0.995739221572876
31,Rnf149,24.0,300.0,3.087921380996704,8.418111801147461,0.4721243381500244,0.05000000074505806,0.1383562982082367,0.9944412112236023
32,Tgfbrap1,24.0,300.0,3.0783588886260986,8.0,0.2752247750759125,0.05000000074505806,0.14196959137916565,0.9904879331588745
33,Tpp2,12.0,300.0,2.0,8.0,0.9701835513114929,0.05000000074505806,0.13647077977657318,0.9936554431915283
34,Slc40a1,24.0,300.0,2.7765212059020996,8.2626314163208,0.39039990305900574,0.05000000074505806,0.1437598019838333,0.9893154501914978
35,Myo1b,24.0,300.0,3.313753604888916,8.402350425720215,0.5302274823188782,0.05000000074505806,0.11878105998039246,1.014933466911316
36,Stat1,10.0,300.0,2.5786266326904297,8.2030668258667,0.09602447599172592,0.05000000074505806,0.1432480663061142,0.9934511184692383
37,Nab1,22.0,300.0,2.9675755500793457,8.0,1.2245690822601318,0.05000000074505806,0.13509997725486755,0.9942567348480225
38,Hibch,24.0,300.0,2.736950635910034,8.176568984985352,3.314101457595825,0.05000000074505806,0.1285141259431839,0.9949711561203003
39,Sf3b1,24.0,300.0,3.299332618713379,8.307032585144043,1.0128554105758667,0.05000000074505806,0.12895673513412476,0.9924235939979553
40,Hspd1,24.0,300.0,2.698117971420288,8.0,2.6057939529418945,0.05000000074505806,0.1371212601661682,0.9906538724899292
41,Hspe1,24.0,300.0,2.871729850769043,8.0,1.2844887971878052,0.05000000074505806,0.1175893247127533,0.9914546608924866
42,Aox1,24.0,300.0,3.2247745990753174,8.0,1.2830991744995117,0.05000000074505806,0.13490359485149384,0.9702675342559814
43,Aox3,24.0,300.0,2.493635892868042,8.372879981994629,0.8499646186828613,0.05000000074505806,0.12939578294754028,0.993485152721405
44,Bzw1,24.0,300.0,2.634737014770508,8.0,0.21432237327098846,0.05000000074505806,0.14079450070858002,0.9921742677688599
45,Clk1,24.0,300.0,3.4024229049682617,8.0,1.5196443796157837,0.05000000074505806,0.129383385181427,0.9943243265151978
46,Ndufb3,16.0,300.0,2.0,8.0,0.1028083935379982,0.05000000074505806,0.12805911898612976,0.9930973052978516
47,Cflar,12.0,300.0,2.0,8.322178840637207,0.2679038941860199,0.05000000074505806,0.1401222050189972,0.9933200478553772
48,Stradb,24.0,300.0,2.590017557144165,8.104166030883789,0.6891732215881348,0.05000000074505806,0.1253376603126526,0.9960362911224365
49,Als2,24.0,300.0,2.691528081893921,8.290583610534668,1.2012391090393066,0.05000000074505806,0.11928544193506241,0.9953983426094055
50,Bmpr2,18.0,300.0,2.5115816593170166,8.0,1.5132087469100952,0.05000000074505806,0.13438887894153595,0.9870890378952026
51,Raph1,12.0,300.0,2.0,8.0,0.28524672985076904,0.05000000074505806,0.12531603872776031,1.0157514810562134
52,Ndufs1,12.0,300.0,2.0,8.0,1.411149263381958,0.05000000074505806,0.14013589918613434,0.9909558892250061
53,Eef1b2,16.0,300.0,2.0,8.576126098632812,0.9577342867851257,0.05000000074505806,0.11969811469316483,0.9920744299888611
54,Idh1,16.0,300.0,2.092146873474121,8.0,0.41534966230392456,0.05000000074505806,0.13712044060230255,0.9942042827606201
