,Gene_ID,Period,SNR,nSNR,LLR,phase
191,Plxna2,24.0,4.609062121844695,1.641508091029177,-0.16210031509399414,23
192,Pcmtd2,24.0,3.1963519775636775,1.1886460971961266,-0.5859847068786621,6
193,Dcun1d4,24.0,5.202070150832923,1.6599942211096976,0.049257914225260414,7
194,Acsl3,24.0,2.752942972239144,1.1215525624437148,-1.0621328353881836,16
195,Zfp707,24.0,4.210508934903553,1.4335251908760824,-0.6483891805013021,3
196,Epha2,16.0,4.604081752246389,2.3020408761231943,-1.4264996846516926,5
197,Bet1,24.0,3.113151910271863,1.0703399765448232,-0.27500343322753906,2
198,Hspa13,24.0,4.387232732035728,1.4384300124007066,-0.727751890818278,1
199,Stim2,24.0,5.0724466162436626,1.5592991431885952,-0.2798449198404948,13
200,Pla2g12b,24.0,4.387098926211419,1.4013122985450277,0.12149508794148763,1
201,Plekha8,24.0,4.293538526563048,1.5527604002007902,0.023971080780029297,14
202,Myh1,24.0,3.4269966037159714,0.9969351318851477,-1.762986183166504,7
203,Irgq,24.0,5.0145706309062295,1.8653036007196813,-0.6317381858825684,24
204,Fam222b,24.0,3.0601308682591872,1.0997984942165773,-0.17936484018961588,21
205,Sik1,24.0,3.2498379625125877,1.0701491293929368,-0.7441059748331705,15
206,Gm33459,24.0,4.456638321087492,1.3664751495696141,-1.114611307779948,15
207,Fgfr2,24.0,1.9807026272555885,0.8191853348847946,0.12083705266316731,5
208,Fzd7,12.0,4.008532526252634,2.004266263126317,-1.083992640177409,11
209,A730008H23Rik,16.0,3.176450973019603,1.5882254865098016,-1.4570972124735515,6
210,C1qa,16.0,1.2434471624945929,0.6217235812472964,-1.7316055297851562,5
211,Gale,24.0,2.7974750770257963,0.8907729556883944,-0.29683780670166016,24
212,Tjp2,24.0,3.452492651872744,1.3988029248930365,0.29091938336690265,1
213,Tmie,24.0,6.558903867983288,1.9520157234690498,-1.3086684544881184,1
214,Tap1,24.0,1.9398119385808403,0.6928006673470818,0.05143133799235026,4
215,Hspg2,20.0,0.8610735751626879,0.30253653751714626,-2.060965379079183,12
216,Pnp,24.0,3.4792447106275666,1.1678039408545717,0.48711514472961426,23
217,Col3a1,24.0,1.449337517795521,0.517915978684104,-1.8499027887980144,18
218,Abcd1,24.0,1.7331001339040744,0.6817758019315736,-1.3840023676554363,7
219,Mvk,24.0,4.069835183302429,1.4187367774555422,-0.7105868657430013,1
220,C1qc,16.0,3.0211839342655504,1.5105919671327752,-1.464513619740804,7
221,Rbms1,24.0,3.0953314504327474,1.2804561284929636,0.6560459931691488,7
222,Col4a1,22.0,0.9983580232836207,0.3737073864061509,-1.775149663289388,3
223,Zfand5,24.0,3.867309948036475,1.3459847535211085,-0.880174477895101,4
224,Srprb,12.0,4.022753391219344,2.011376695609672,-0.4888647397359212,1
225,Gtpbp4,24.0,2.7565124071857317,0.9781384297594481,-0.888426939646403,22
226,Rabgap1l,22.0,4.646599373662947,1.901683228992251,-1.4160467783610027,12
227,Igfbp3,12.0,2.582804406981268,1.291402203490634,-1.7189566294352214,5
228,Gsdmd,24.0,2.0589593095712444,0.6377577954871332,-0.6290343602498373,4
229,Nup210,16.0,2.556385215104257,1.2781926075521286,-1.1793982187906902,11
230,Pim1,24.0,2.0665904808310116,0.6071852401794868,-1.0740715662638347,4
231,Hspa4l,24.0,3.720359215583186,1.3772851898832341,-0.48226149876912433,16
232,Tgfbr2,24.0,2.9231220868212175,1.0120026463978753,-0.4460415840148926,13
233,Fbxo6,24.0,3.829533949979028,1.3861808806889033,0.5534226099650065,1
234,Gmppa,24.0,4.214803635583228,1.759960136747672,-0.41980568567911786,2
235,Prelid3b,24.0,2.0642153269236565,0.7286280292743307,-0.5549589792887369,15
236,Dhrs7,24.0,2.6301578748380594,0.9664728579541576,-1.1789110501607258,11
237,Ptch1,24.0,2.792244514693471,1.0831466746916587,-1.2595197359720867,13
238,Igsf11,24.0,2.537824974676756,1.0040428471902187,-1.749350865681966,3
239,H1f2,24.0,2.8058766059123625,0.9441640141725811,0.20092002550760904,22
240,Pdlim1,12.0,3.8232481626793517,1.9116240813396759,-0.9791717529296875,2
241,Igfbp5,24.0,0.8992872103911463,0.309369648451306,-1.9206132888793945,17
242,Wdr91,24.0,3.071379299228672,1.0480656981115173,0.4344143072764079,22
243,Igtp,14.0,2.9902200300911645,1.4951100150455823,-1.5735931396484375,12
244,Slc35b4,24.0,2.7311319613275877,0.9705495782926118,-1.153366247812907,18
245,Hba-a2,24.0,2.487967788065406,0.8035568690018021,-1.6942521731058757,18
246,Map3k13,12.0,3.050217434047111,1.5251087170235555,-1.2869356473286946,2
247,Thtpa,24.0,2.392676914116385,0.7087953506144042,-0.5826360384623209,3
248,Myh14,24.0,3.5705682752903574,1.340077317209338,-0.9023901621500651,6
249,Zfp655,24.0,2.363699638768903,0.7122598763121974,-0.4856402079264323,7
250,Hcn3,24.0,1.561628308227234,0.5481073198067701,-0.5623618761698405,11
251,Esr1,24.0,6.054121699579574,2.0478963140303352,0.1668698787689209,15
252,Onecut1,24.0,2.58626898180869,0.8869704736543838,-1.7260651588439941,13
253,Ndel1,24.0,2.727557850475946,1.0139741370790842,-0.9444224039713541,13
254,Cln8,24.0,3.3610479579687262,1.2100408725165352,-0.328921635945638,11
255,Ildr2,18.0,2.4249928752924603,0.9091392616779521,-1.7931413650512695,17
256,Il11ra1,24.0,3.2746990152198956,0.989161646710679,-0.1362579663594564,23
257,Anks1,24.0,2.995929869995949,1.025337954357398,-0.3077390988667806,12
258,Jpt2,24.0,2.795862192665229,1.0796253278128842,-0.4463787078857422,2
259,B3gat3,24.0,3.392599067378194,1.3445155739338128,0.46364760398864746,23
260,Lnx2,24.0,1.8331742002086948,0.7378096422548002,0.21346084276835123,22
261,Trio,24.0,3.565129636022026,1.3369076763268308,-1.7184545199076335,4
262,Ggt6,24.0,2.261986343104718,0.6920773819095242,-1.0281020800272624,20
263,Blcap,24.0,4.257654733796794,1.5116849203857625,0.5814519723256429,23
264,Ahcyl2,10.0,2.4095573379730917,1.2047786689865458,-1.906638781229655,10
265,Trak2,24.0,2.2550643526719827,0.6686489187412142,-1.7342063585917156,15
266,Tenm3,24.0,2.5108158370347318,0.861715908664444,-0.676443894704183,7
267,Zbed6,16.0,2.8181206272279407,1.4018864440774617,-1.2397546768188477,16
268,Cars,24.0,2.621758015884546,0.8063617351596294,0.03132216135660807,2
269,Ssh2,24.0,1.8148425693006986,0.6613883146112223,0.15253392855326334,12
270,Mn1,24.0,3.504187895085149,1.3309327979802799,-0.03599866231282552,5
271,Acnat2,24.0,3.164591020718732,1.1210429083954854,-0.7158190409342448,21
272,Zbtb16,22.0,3.130604835972285,1.0132263573674867,-1.7640576362609863,16
273,Ankrd28,24.0,3.651678384920876,1.3541112341120116,-1.4804779688517253,15
274,Fads3,24.0,1.6316462487784602,0.4877910675708996,-1.5833075841267903,8
275,Wdr7,18.0,2.9133630608671095,1.2457982350833285,-1.7382570902506511,14
276,Grpel2,24.0,2.393739753036995,0.7585908069067897,-0.848954995473226,7
277,Shank2,24.0,1.4327412068547916,0.5414877664524943,-0.15075143178304037,24
278,Il13ra1,24.0,3.428518787339202,1.4745836207998773,-1.6322644551595051,3
279,Sort1,16.0,2.862077929804829,1.4310389649024144,-1.2590888341267903,12
280,Nat10,24.0,2.744080214845349,0.8896276197272295,0.31889979044596356,21
281,Nup153,16.0,2.585371642729481,1.2851435803156275,-1.0556894938151042,4
282,Atp2a1,22.0,2.6925067282769573,1.080897867982522,-1.688351313273112,11
283,Zfhx4,24.0,3.8790792330090196,1.42340128812066,-0.5382591883341471,24
284,Stx4a,24.0,2.552895757477539,0.9752642166251704,0.3578035831451416,3
285,Ugt1a5,10.0,0.912436775974403,0.4562183879872015,-1.9439380963643391,5
286,Smagp,24.0,3.503512174284919,1.220888233011694,0.7233428955078125,24
287,Xpo1,22.0,1.750555674296926,0.5782439237910494,-1.7545366287231445,1
288,Ociad2,24.0,3.179333084071679,1.0644570069900217,-0.8698237737019857,5
289,Mga,24.0,1.9402724504681188,0.5895216648986457,-1.8611369132995605,6
